"開票区","名前","得票数","開票区総数","開票区得票率","平均年収"
"小平市","横山緑",15,98500.999,0.000152282719487952,4089527.59174647
"小平市","前田太一",9,98500.999,9.1369631692771e-05,4089527.59174647
"小平市","みなみ俊輔",6,98500.999,6.09130877951806e-05,4089527.59174647
"小平市","ふくはらしるび",9,98500.999,9.1369631692771e-05,4089527.59174647
"小平市","木村よしたか",13,98500.999,0.000131978356889558,4089527.59174647
"小平市","三輪陽一",10,98500.999,0.000101521812991968,4089527.59174647
"小平市","松尾芳治",6,98500.999,6.09130877951806e-05,4089527.59174647
"小平市","ホカリジン",8,98500.999,8.12174503935742e-05,4089527.59174647
"小平市","小林弘",183,98500.999,0.00185784917775301,4089527.59174647
"小平市","加藤健一郎",8,98500.999,8.12174503935742e-05,4089527.59174647
"小平市","ひまそらあかね",1507,98500.999,0.0152993372178895,4089527.59174647
"小平市","向後真徳",28,98500.999,0.00028426107637751,4089527.59174647
"小平市","うしくぼのぶお",15,98500.999,0.000152282719487952,4089527.59174647
"小平市","古田真",8,98500.999,8.12174503935742e-05,4089527.59174647
"小平市","アキノリ将軍未満",11,98500.999,0.000111673994291164,4089527.59174647
"日野市","野間口翔",14,95942.999,0.000145919974838393,3874539.34069594
"日野市","さわしげみ",16,95942.999,0.000166765685529592,3874539.34069594
"日野市","大和行男",219,95942.999,0.0022826053206863,3874539.34069594
"日野市","木宮みつき",73,95942.999,0.000760868440228765,3874539.34069594
"日野市","小池ゆりこ",41940,95942.999,0.437134553194444,3874539.34069594
"日野市","うつみさとる",1643,95942.999,0.01712475133282,3874539.34069594
"日野市","石丸伸二",21877.25,95942.999,0.228023412109517,3874539.34069594
"日野市","小野寺こうき",17,95942.999,0.000177188540875192,3874539.34069594
"日野市","しんどう伸夫",18,95942.999,0.000187611396220791,3874539.34069594
"日野市","竹本秀之",7,95942.999,7.29599874191967e-05,3874539.34069594
"日野市","桜井誠",948,95942.999,0.00988086686762835,3874539.34069594
"日野市","ドクター・中松",319,95942.999,0.00332489085524625,3874539.34069594
"日野市","安野たかひろ",1247,95942.999,0.0129973006159626,3874539.34069594
"日野市","清水国明",557,95942.999,0.00580553042749894,3874539.34069594
"日野市","ＡＩメイヤー",37,95942.999,0.000385645647787183,3874539.34069594
"日野市","桑原まりこ",43,95942.999,0.00044818277986078,3874539.34069594
"日野市","ゴトウテルキ",81,95942.999,0.000844251282993562,3874539.34069594
"日野市","河合ゆうすけ",26,95942.999,0.000270994238985588,3874539.34069594
"日野市","福本繁幸",41,95942.999,0.000427337069169581,3874539.34069594
"日野市","黒川あつひこ",23,95942.999,0.000239725672948789,3874539.34069594
"日野市","桑島康文",3,95942.999,3.12685660367986e-05,3874539.34069594
"日野市","田母神としお",3329,95942.999,0.0346976854455008,3874539.34069594
"日野市","蓮舫",19377,95942.999,0.201963668031682,3874539.34069594
"日野市","ないとうひさお",49,95942.999,0.000510719911934377,3874539.34069594
"日野市","内野愛里",43,95942.999,0.00044818277986078,3874539.34069594
"日野市","石丸幸人",2089.749,95942.999,0.0217811515356113,3874539.34069594
"日野市","尾関あゆみ",4,95942.999,4.16914213823981e-05,3874539.34069594
"日野市","小松けん",11,95942.999,0.000114651408801595,3874539.34069594
"日野市","かがたたくじ",8,95942.999,8.33828427647962e-05,3874539.34069594
"日野市","福永かつや",12,95942.999,0.000125074264147194,3874539.34069594
"日野市","犬伏宏明",29,95942.999,0.000302262805022386,3874539.34069594
"日野市","武内隆",3,95942.999,3.12685660367986e-05,3874539.34069594
"日野市","遠藤信一",5,95942.999,5.21142767279976e-05,3874539.34069594
"日野市","上楽むねゆき",6,95942.999,6.25371320735972e-05,3874539.34069594
"日野市","二宮大造",10,95942.999,0.000104228553455995,3874539.34069594
"日野市","中江ともや",5,95942.999,5.21142767279976e-05,3874539.34069594
"日野市","ふなはしゆめと",6,95942.999,6.25371320735972e-05,3874539.34069594
"日野市","山田信一",11,95942.999,0.000114651408801595,3874539.34069594
"日野市","加藤英明",5,95942.999,5.21142767279976e-05,3874539.34069594
"日野市","草尾あつし",7,95942.999,7.29599874191967e-05,3874539.34069594
"日野市","津村大作",1,95942.999,1.04228553455995e-05,3874539.34069594
"日野市","横山緑",43,95942.999,0.00044818277986078,3874539.34069594
"日野市","前田太一",10,95942.999,0.000104228553455995,3874539.34069594
"日野市","みなみ俊輔",4,95942.999,4.16914213823981e-05,3874539.34069594
"日野市","ふくはらしるび",6,95942.999,6.25371320735972e-05,3874539.34069594
"日野市","木村よしたか",10,95942.999,0.000104228553455995,3874539.34069594
"日野市","三輪陽一",1,95942.999,1.04228553455995e-05,3874539.34069594
"日野市","松尾芳治",11,95942.999,0.000114651408801595,3874539.34069594
"日野市","ホカリジン",36,95942.999,0.000375222792441583,3874539.34069594
"日野市","小林弘",89,95942.999,0.000927634125758358,3874539.34069594
"日野市","加藤健一郎",15,95942.999,0.000156342830183993,3874539.34069594
"日野市","ひまそらあかね",1504,95942.999,0.0156759744397817,3874539.34069594
"日野市","向後真徳",27,95942.999,0.000281417094331187,3874539.34069594
"日野市","うしくぼのぶお",13,95942.999,0.000135497119492794,3874539.34069594
"日野市","古田真",7,95942.999,7.29599874191967e-05,3874539.34069594
"日野市","アキノリ将軍未満",7,95942.999,7.29599874191967e-05,3874539.34069594
"東村山市","野間口翔",16,75159.999,0.000212879193891421,3674715.68773436
"東村山市","さわしげみ",11,75159.999,0.000146354445800352,3674715.68773436
"東村山市","大和行男",84,75159.999,0.00111761576792996,3674715.68773436
"東村山市","木宮みつき",44,75159.999,0.000585417783201407,3674715.68773436
"東村山市","小池ゆりこ",34410,75159.999,0.457823316362737,3674715.68773436
"東村山市","うつみさとる",1176,75159.999,0.0156466207510194,3674715.68773436
"東村山市","石丸伸二",16009.394,75159.999,0.213004180588134,3674715.68773436
"東村山市","小野寺こうき",3,75159.999,3.99148488546414e-05,3674715.68773436
"東村山市","しんどう伸夫",4,75159.999,5.32197984728552e-05,3674715.68773436
"東村山市","竹本秀之",7,75159.999,9.31346473274966e-05,3674715.68773436
"東村山市","桜井誠",824,75159.999,0.0109632784854082,3674715.68773436
"東村山市","ドクター・中松",285,75159.999,0.00379191064119093,3674715.68773436
"東村山市","安野たかひろ",780,75159.999,0.0103778607022068,3674715.68773436
"東村山市","清水国明",506,75159.999,0.00673230450681619,3674715.68773436
"東村山市","ＡＩメイヤー",39,75159.999,0.000518893035110338,3674715.68773436
"東村山市","桑原まりこ",33,75159.999,0.000439063337401056,3674715.68773436
"東村山市","ゴトウテルキ",51,75159.999,0.000678552430528904,3674715.68773436
"東村山市","河合ゆうすけ",19,75159.999,0.000252794042746062,3674715.68773436
"東村山市","福本繁幸",34,75159.999,0.000452368287019269,3674715.68773436
"東村山市","黒川あつひこ",16,75159.999,0.000212879193891421,3674715.68773436
"東村山市","桑島康文",3,75159.999,3.99148488546414e-05,3674715.68773436
"東村山市","田母神としお",2690,75159.999,0.0357903144729951,3674715.68773436
"東村山市","蓮舫",15433,75159.999,0.205335287457894,3674715.68773436
"東村山市","ないとうひさお",35,75159.999,0.000465673236637483,3674715.68773436
"東村山市","内野愛里",31,75159.999,0.000412453438164628,3674715.68773436
"東村山市","石丸幸人",1287.605,75159.999,0.0171315196531602,3674715.68773436
"東村山市","尾関あゆみ",1,75159.999,1.33049496182138e-05,3674715.68773436
"東村山市","小松けん",15,75159.999,0.000199574244273207,3674715.68773436
"東村山市","かがたたくじ",14,75159.999,0.000186269294654993,3674715.68773436
